name,style,abv,ibu,brewer_name,tipo
No.36 - Callipygian,Aged Beer (Ale or Lager),17.4,17.0,Avery Brewing Company,Lager
No.37 - XOLOTL,American-Style Imperial Stout,13.7,60.0,Avery Brewing Company,Stout
No.41 - Dui Cochi,Aged Beer (Ale or Lager),18.6,17.0,Avery Brewing Company,Lager
Noël,Belgian-Style Quadrupel,12.0,25.0,AleSmith Brewing Company,Trappist
Nøgne Ø Dark Horizon,American-Style Imperial Stout,16.0,100.0,Nøgne Ø,Stout
Nokdechiloff,American-Style Barley Wine Ale,12.7,40.0,Manayunk Brewery and Restaurant,Ale
Nor' Easter,Herb and Spice Beer,12.0,32.0,Captain Lawrence Brewing Company,Special
Nordic Saddle Buffer,British-Style Barley Wine Ale,14.0,46.0,Moon Dog,Ale
Not The Stoic,Belgian-Style Quadrupel,12.0,25.0,Deschutes Brewery,Trappist
Not Your Father's Root Beer - Limited Edition (19.5%),Herb and Spice Beer,19.5,52.5,Small Town Brewery,Special
Notorious B.A.G.,American-Style Imperial Porter,12.0,34.0,Flying Dog Brewery,Porter
Notorious Triple IPA,Imperial or Double India Pale Ale,11.5,80.0,Boneyard Beer Company,India Pale Ale
Noxious Beast,Imperial or Double India Pale Ale,11.3,143.0,Black Acre Brewing Company,India Pale Ale
Nutmeg,Open Category Mead,13.0,1.0,Schramm's Mead,Mead
NYX – GODDESS OF THE NIGHT,Wood- and Barrel-Aged Beer,12.5,37.0,Faction Brewing,Stout
Oak Aged Pilot Project,Wood- and Barrel-Aged Beer,11.8,60.0,White Birch Brewing,Stout
Oak Aged Vanilla World Wide Stout,American-Style Imperial Stout,16.0,70.0,Dogfish Head Craft Brewery,Stout
Oak Senex Torva Saison,Wood- and Barrel-Aged Sour Beer,11.2,60.0,White Birch Brewing,Ale
Oak Smoker,Scotch Ale,11.5,40.0,Joseph James Brewing Co. Inc.,Ale
Oaked Wildflower Mead,Open Category Mead,11.5,1.0,BOS Meadery,Mead
Oakmeal,Oatmeal Stout,11.4,43.0,Stone Brewing,Stout
Oblivious,American-Style Wheat Wine Ale,13.0,13.0,Griffin Claw Brewing Company,Ale
Oblivious Rye Barrel Aged,American-Style Wheat Wine Ale,13.0,13.0,Griffin Claw Brewing Company,Ale
Odyssey 001,American-Style Imperial Stout,12.4,60.0,Siren Craft Brew,Stout
Oerbier Special Reserva,Belgian-Style Flanders Oud Bruin or Oud Red Ales,13.0,40.0,Brouwerij De Dolle Brouwers,Ale
Off With Their Thumbs,British-Style Barley Wine Ale,11.2,33.0,Nowhere In Particular Brewing Company,Ale
Oh My Quad,Belgian-Style Quadrupel,13.4,25.0,Wicked Weed Brewing Company,Trappist
"Oh, My Quad!",Belgian-Style Quadrupel,11.5,39.0,Brau Brothers Brewing Company,Trappist
Ohio Unidragon,American-Style Imperial Stout,11.5,60.0,Clown Shoes Beer,Stout
Oil Spiller with Cherry & Coconut,American-Style Imperial Stout,11.9,71.0,Hopcat,Stout
Ok-Si,American-Style Imperial Stout,12.0,60.0,Prairie Artisan Ales,Stout
Ol' Leghorn,Wood- and Barrel-Aged Beer,14.0,48.0,Firestone Walker Brewing Company,Stout
Old #27 Barley Wine,American-Style Barley Wine Ale,12.5,40.0,Delafield Brewhaus,Ale
Old Baba Yaga,American-Style Imperial Stout,11.5,115.0,Bear Republic Brewing Company,Stout
Old Barrel Dweller,American-Style Barley Wine Ale,11.8,75.0,Driftwood Brewery,Ale
Old Bridge Rider,British-Style Barley Wine Ale,12.0,40.0,Fremont Brewing,Ale
Old Cellar Dweller,American-Style Barley Wine Ale,11.8,100.0,Driftwood Brewery,Ale
Old Double Bagger Barleywine,American-Style Barley Wine Ale,13.2,40.0,Oskar Blues Brewery,Ale
Old Dummy,Strong Ale,12.0,40.0,Old Orange Brewing Co,Ale
Old Fugget,American-Style Barley Wine Ale,11.8,40.0,Otto's Pub and Brewery,Ale
Old Grizzly,American-Style Barley Wine Ale,12.0,95.0,Elk Valley Brewing Co.,Ale
Old Guardian Barley Wine,American-Style Barley Wine Ale,11.3,95.0,Stone Brewing,Ale
Old Guardian Oak-Smoked,American-Style Barley Wine Ale,11.4,70.0,Stone Brewing,Ale
Old Perseverance,Old Ale,18.5,40.0,Avery Brewing Company,Ale
Old Shag,British-Style Barley Wine Ale,11.2,40.0,Three Weavers Brewing Company,Ale
Old Stock Ale,Old Ale,11.7,40.0,North Coast Brewing Company,Ale
Old Stock Ale Cellar Reserve (Brandy Barrel),Old Ale,15.2,40.0,North Coast Brewing Company,Ale
Old Stock Ale Ōtsuchi,Old Ale,11.7,40.0,North Coast Brewing Company,Ale
Old Stock Cellar Reserve (Bourbon Barrel),Old Ale,14.1,40.0,North Coast Brewing Company,Ale
Old Stock Cellar Reserve (Rye Whiskey Barrel),Old Ale,13.7,40.0,North Coast Brewing Company,Ale
Old Stock Cellar Reserve (Wheat Whiskey Barrels),Old Ale,14.4,40.0,North Coast Brewing Company,Ale
Old Thunderpussy Barleywine,American-Style Barley Wine Ale,11.9,95.0,Magnolia Brewing Company,Ale
Olde School,American-Style Barley Wine Ale,15.0,85.0,Dogfish Head Craft Brewery,Ale
Olde School Barleywine,American-Style Barley Wine Ale,15.0,85.0,Dogfish Head Craft Brewery,Ale
Olde Village Stock Ale,Wood- and Barrel-Aged Strong Beer,14.2,60.0,Kuhnhenn Brewing,Ale
Older Viscosity,American-Style Imperial Stout,12.0,40.0,Port Brewing Company,Stout
OMG,American-Style Barley Wine Ale,20.0,48.0,Rapp Brewing Company,Ale
On Fleek,American-Style Imperial Stout,13.0,60.0,Stillwater Artisanal Ales,Stout
One Knight Stand,American-Style Imperial Stout,13.0,60.0,High Hops Brewery,Stout
One Line Coffee,Open Category Mead,13.0,1.0,Brothers Drake Meadery,Mead
One Thousand Four Hundred Sixty,Belgian-Style Dark Strong Ale,12.0,40.0,Kane Brewing Co.,Ale
Orange Blossom,Dry Mead,13.0,1.0,San Francisco Mead Company,Mead
Orange Giant Barleywine Bourbon aged,American-Style Barley Wine Ale,14.0,80.0,Ecliptic Brewing,Ale
Orge D'or,British-Style Barley Wine Ale,11.9,40.0,Micro-Brasserie Le Baril Roulant,Ale
Original Dry,Dry Mead,12.0,1.0,Charm City Meadworks,Mead
Orin,American-Style Brown Ale,15.7,40.0,Half Acre Beer Company,Ale
Oude Zuipers,Belgian-Style Tripel,11.5,25.0,Brouwerij Van Steenberge,Trappist
Over the Line,Wood- and Barrel-Aged Beer,13.0,60.0,Pipeworks Brewing Company,Stout
Owd Engwish Barrel-Aged Barley Wine,American-Style Barley Wine Ale,12.2,60.0,Three Floyds Brewing Company,Ale
Oxymor Double,English Cider,11.5,1.0,Microbrasserie Pit Caribou,Cider
Pacific Standard Cabernet Sauvignon,Other Fruit Melomel,14.0,17.0,Gotham Project,Fruit
