name,style,abv,ibu,brewer_name,tipo
Hopped Cider,New England Cider,5.0,1.0,Austin Eastciders,Cider
Hopped Honey,Semi-Sweet Mead,12.0,1.0,Golden Coast Mead,Mead
Hopped Ohio,Open Category Mead,13.0,1.0,Brothers Drake Meadery,Mead
Hopped Traditional,Open Category Mead,13.0,1.0,Brothers Drake Meadery,Mead
Hoppin' Johnny,New England Cider,6.0,1.0,Windy Hill Orchard & Cidery,Cider
Hoppy Granny,Cyser (Apple Melomel),10.0,1.0,Frecon's Cidery,Cider
Hops,Open Category Mead,6.9,1.0,Charm City Meadworks,Mead
Hot Shot,Open Category Mead,13.0,1.0,Brothers Drake Meadery,Mead
How Do You Like Them Apples,Fruit Cider,13.5,1.0,Moonlight Meadery,Cider
How Do You Like Them Little Apples,New England Cider,6.9,1.0,Moonlight Meadery,Cider
Huajilla Traditional,Semi-Sweet Mead,13.2,1.0,Meridian Hive Meadery,Mead
Huckleberry Cider,Fruit Cider,7.0,1.0,Two Rivers Cider Company,Cider
Huckleberry Honey,Sweet Mead,12.5,1.0,Hidden Legend Winery,Mead
Hudson Red Ale,Irish-Style Red Ale,4.8,1.0,D.L. Geary Brewing Company,Ale
Hungry Girl,Open Category Mead,6.0,1.0,Cellarmen's,Mead
Ich Bin Ein Berliner Weisse,Berliner-Style Weisse (Wheat),3.5,1.0,Stone's Throw Brewing,Wheat
Immortal Jelly,Fruit Cider,5.2,1.0,Starcut Ciders,Cider
Imperial Alt,German-Style Altbier,5.9,1.0,August Schell Brewing Company,Mead
Imperial Bananas Foster Forever,Open Category Mead,10.0,1.0,Crafted Artisan Meadery,Mead
Imperial Breakfast Magpie,Dry Mead,10.5,1.0,New Day Meadery,Mead
Imperial Sour Cherry Altbier,German-Style Altbier,10.0,1.0,Greater Good Imperial Brewing Company,Mead
Interval Ale (Altoberfest),German-Style Altbier,8.3,1.0,Element Brewing Company‎,Mead
IQhilika African Dry Mead,Dry Mead,12.0,1.0,Makana Meadery,Mead
IQhilika African Herbal Blossom Mead,Semi-Sweet Mead,12.0,1.0,Makana Meadery,Mead
IQhilika Chili Msobomvu - Zymatore,Dry Mead,12.0,1.0,Makana Meadery,Mead
IQhilika Coffee Mead - Zymatore (Red Wine),Open Category Mead,12.0,1.0,Makana Meadery,Mead
IQhilika Dry Msobomvu - Zymatore,Dry Mead,12.0,1.0,Makana Meadery,Mead
Iridium Flare,Open Category Mead,13.9,1.0,Bottle Logic Brewing,Mead
Ironbound Hard Cider,Fruit Cider,5.2,1.0,Jersey Cider Works,Cider
Island Hopper,Fruit Cider,6.9,1.0,101 Cider House,Cider
J.K.'s Scrumpy Apple Cider,Fruit Cider,6.0,1.0,Almar Orchards,Cider
Jazzberri BZZZ,Sweet Mead,6.0,1.0,Acoustic Draft Mead,Mead
Jeff's Bavarian Ale,German-Style Altbier,7.1,1.0,Brauerei Gbr. Maisel KG,Mead
Jersey Blues,Fruit Cider,6.0,1.0,Windy Hill Orchard & Cidery,Cider
Jinja Blue,Fruit Cider,6.5,1.0,Red Clay Ciderworks,Cider
Jodlerkonig,German-Style Altbier,7.1,1.0,Black Husky Brewing LLC,Mead
John Lemon,Sweet Mead,6.0,1.0,St. Ambrose Cellars,Mead
Juliet,German-Style Altbier,8.5,1.0,Weyerbacher Brewing Company,Mead
Junkyard Pedigree,German-Style Altbier,7.5,1.0,Neighborhood Beer Co.,Mead
Kaiser Alt - Select Series,German-Style Altbier,7.0,1.0,Abita Brewing Company,Mead
Kaktus Altbier,German-Style Altbier,4.7,1.0,Kaktus Brewing Company,Mead
Kardinal Falls,German-Style Oktoberfest / Wiesen (Meadow),5.3,1.0,Basic City Beer Co.,Lager
Ketterer Weihnachtsbier,German-Style Oktoberfest / Wiesen (Meadow),5.2,1.0,Privatbrauerei Wilhelm Ketterer,Lager
Ketterer Weihnachtsbier,German-Style Oktoberfest / Wiesen (Meadow),5.2,1.0,Brauerei Ketterer,Lager
Key Lime Pie,Open Category Mead,12.5,1.0,Harris Meadery,Mead
Kickin' Cranberry Orange Mead,Dry Mead,12.5,1.0,Starrlight Mead,Mead
Kilannan Altbier,German-Style Altbier,5.2,1.0,Killanan Brewing Co.,Mead
Kill All The Golfers,Sweet Mead,6.0,1.0,B. Nektar Meadery,Mead
Killer Sharp,English Cider,5.8,1.0,Hogan's Cider,Cider
Kinglet Bitter,English Cider,6.0,1.0,ÆppelTreow Winery & Distillery,Cider
Kingston Black Limited,English Cider,6.9,1.0,Maiden Rock Winery & Cidery,Cider
Kitty Hawk,German-Style Altbier,4.8,1.0,D9 Brewing Company,Mead
Klamroth's Alt,German-Style Altbier,5.5,1.0,Mashcraft  Brewing,Mead
Klapøjster Mjød,Dry Mead,21.8,1.0,Dansk Mjød,Mead
Kraftwerk Alt,German-Style Altbier,4.9,1.0,Gun Hill Brewing Company,Mead
Kronen Wintertraum,German-Style Oktoberfest / Wiesen (Meadow),5.6,1.0,Kronenbrauerei Offenburg,Lager
L42 Hard Cider,Fruit Cider,6.0,1.0,Latitude 42 Brewing Company,Cider
La Phare,German-Style Altbier,5.0,1.0,Brasserie La Baleine,Mead
La Vie Fantine,German-Style Altbier,5.5,1.0,Revelry Brewing Company,Mead
Lager Town (Novemberfest),German-Style Oktoberfest / Wiesen (Meadow),6.0,1.0,Half Acre Beer Company,Lager
Landsberger Aschersleber Festbier,German-Style Oktoberfest / Wiesen (Meadow),5.6,1.0,Brauerei Landsberg,Lager
Landskron Winterhopfen,German-Style Oktoberfest / Wiesen (Meadow),5.3,1.0,Landskron Brauerei Görlitz GmbH,Lager
Lavender Black Currant,Fruit Cider,6.5,1.0,Finnriver Farm & Cidery,Cider
Lawktoberfest,German-Style Oktoberfest / Wiesen (Meadow),5.0,1.0,Legal Draft Beer Co.,Lager
Lazy Lemon,Fruit Cider,5.0,1.0,McKenzie's Hard Cider,Cider
Ledbury,English Cider,6.5,1.0,Virtue Cider,Cider
Legendberry,Fruit Cider,6.0,1.0,Bishop Cider Company,Cider
Legendberry,Fruit Cider,6.9,1.0,450 North Brewing Company,Cider
Legendberry,Fruit Cider,6.0,1.0,Gnarly Grove Cider Co.,Cider
Lehner Festtagsbier,German-Style Oktoberfest / Wiesen (Meadow),5.1,1.0,Brauerei Günther-Lehner-Stiftung,Lager
Lei,Fruit Cider,8.0,1.0,Far From The Tree Cider,Cider
Leibinger Winter-Spezial,German-Style Oktoberfest / Wiesen (Meadow),5.2,1.0,Gatz Brauhaus,Lager
Lemon Basil,Fruit Cider,5.0,1.0,Wild Cider,Cider
Lemon Meringue Pie,Sweet Mead,6.0,1.0,Crafted Artisan Meadery,Mead
Lighthouse Amber,German-Style Altbier,5.3,1.0,Cheboygan Brewing Company,Mead
Lime Tree,Sweet Mead,13.5,1.0,Die Hochland Imker,Mead
LIterary Nonsense,Cyser (Apple Melomel),14.0,1.0,Superstition Meadery,Cider
Little Sis,American-Style India Pale Ale,6.5,1.0,High Branch Brewing,India Pale Ale
Long Player Alt,German-Style Altbier,6.0,1.0,Ten 10 Brewing Company,Mead
Long Trail Ale,German-Style Altbier,5.0,1.0,Long Trail Brewing Co,Mead
Loomer Eclipse,Fruit Cider,6.9,1.0,Northville Winery & Brewing Co.,Cider
Loon Juice,Fruit Cider,6.0,1.0,Four Daughters Vineyard & Winery,Cider
Loon Juice Ginger Mojito,Fruit Cider,5.5,1.0,Four Daughters Vineyard & Winery,Cider
Lovecraft Series: The Temple,German-Style Altbier,7.0,1.0,Narragansett Brewing Company,Mead
Lowenbrau Oktoberfestbier,German-Style Oktoberfest / Wiesen (Meadow),6.1,1.0,Löwenbräu,Lager
Lumberjack,Fruit Cider,5.0,1.0,Schilling Cider,Cider
Mad Bark,New England Cider,5.0,1.0,Ciderboys Cider Co.,Cider
Mad Max,German-Style Altbier,5.9,1.0,Engine 15 Brewing Company,Mead
Madman Hard Strawberry Cider,Fruit Cider,6.2,1.0,Keel & Curly Winery,Cider
Magic Sticke,German-Style Altbier,6.5,1.0,Wynwood Brewing Company,Mead
Magnum Peach Inferno,Open Category Mead,6.0,1.0,Crafted Artisan Meadery,Mead
"Malz Waff ""Malty Weapon""",German-Style Altbier,8.6,1.0,Sixpoint Brewery,Mead
Mango Black Pepper Saison,Sweet Mead,10.0,1.0,B. Nektar Meadery,Mead
Mango Comapeño,Open Category Mead,6.9,1.0,Charm City Meadworks,Mead
Mango Nectar,Semi-Sweet Mead,8.0,1.0,Redstone Meadery,Mead
Mango-Raspberry,Fruit Cider,4.5,1.0,Rekorderlig,Cider
Mangoberry,Open Category Mead,5.5,1.0,Moonlight Meadery,Mead
Manzana,New England Cider,5.0,1.0,Ciderboys Cider Co.,Cider
Manzanita,German-Style Altbier,6.5,1.0,Fort Point Beer Company,Mead
Maple Apple BzZz,Cyser (Apple Melomel),6.0,1.0,Acoustic Draft Mead,Cider
Marion Mead,Open Category Mead,13.5,1.0,Superstition Meadery,Mead
Märzen,German-Style Oktoberfest / Wiesen (Meadow),5.5,1.0,Eckhoff's Brauerei im Alten Land,Lager
Märzen,German-Style Oktoberfest / Wiesen (Meadow),5.5,1.0,Bier-Hannes Brauerei zur Mainkur,Lager
Märzen,German-Style Oktoberfest / Wiesen (Meadow),5.5,1.0,Brauerei zum Stadtpark,Lager
Märzen,German-Style Oktoberfest / Wiesen (Meadow),5.5,1.0,Brauerei zum Klosterhof,Lager
Märzen,German-Style Oktoberfest / Wiesen (Meadow),5.5,1.0,Alzeyer Volker Bräu,Lager
Märzen,German-Style Oktoberfest / Wiesen (Meadow),5.5,1.0,Eisgrub-Bräu,Lager
Märzen,German-Style Oktoberfest / Wiesen (Meadow),5.5,1.0,Gasthausbrauerei und Brennerei Nolte,Lager
Märzen,German-Style Oktoberfest / Wiesen (Meadow),5.5,1.0,Hallesches Brauhaus Kühler Brunnen,Lager
Märzen,German-Style Oktoberfest / Wiesen (Meadow),5.5,1.0,Adlerbrauerei Herbert Werner,Lager
Märzen,German-Style Oktoberfest / Wiesen (Meadow),5.5,1.0,Vogel Hausbräu Durlach,Lager
Märzen,German-Style Oktoberfest / Wiesen (Meadow),5.5,1.0,Spree-Pension Gaststätte,Lager
Märzen,German-Style Oktoberfest / Wiesen (Meadow),5.5,1.0,Brauhaus Obermühle,Lager
Märzen,German-Style Oktoberfest / Wiesen (Meadow),5.5,1.0,Brauhaus Mitte,Lager
Mauritius Zwickauer Winterbier,German-Style Oktoberfest / Wiesen (Meadow),5.7,1.0,Mauritius Brauerei Zwickau,Lager
"May We Have Your Attention, Please.",Fruit Cider,5.9,1.0,Artifact Cider Project,Cider
Mead,Sweet Mead,10.5,1.0,Bell's Brewery,Mead
Memento,Fruit Cider,6.9,1.0,Starcut Ciders,Cider
Meredith Marzen,German-Style Oktoberfest / Wiesen (Meadow),5.5,1.0,Avondale Brewing Company,Lager
Mershon's Artisan Cider,Fruit Cider,6.2,1.0,Mershon's  Cidery,Cider
Mershon's Death Valley Dry,Apple Wine,10.0,1.0,Mershon's  Cidery,Cider
Mershon's Mystic Berry Cider,Fruit Cider,5.5,1.0,Mershon's  Cidery,Cider
Michelob Ultra Light Cider,English Cider,4.0,1.0,Michelob Brewing Company,Cider
Michigan Brut,French Cider,6.7,1.0,Virtue Cider,Cider
Michigan Cherry,Fruit Cider,5.0,1.0,Virtue Cider,Cider
Michigan Harvest,Fruit Cider,5.5,1.0,Virtue Cider,Cider
Microphone Check,Fruit Cider,6.2,1.0,Slim Pickens Cider & Mead,Cider
Miel de Garde,Dry Mead,14.0,1.0,B. Nektar Meadery,Mead
Miel Noir,Open Category Mead,12.0,1.0,Celestial Meads,Mead
Mighty Dry Cider,Fruit Cider,6.9,1.0,Golden State Cider,Cider
Milk The Musque - Gamma,Farmhouse Ale (Beer/Wine/Mead Hybrid),9.5,1.0,Long Beach Beer Lab,Mead
Mixed Berry Apple Cider,Fruit Cider,4.8,1.0,Dewalt Brewing,Cider
Mõdu,Dry Mead,4.0,1.0,Saku Õlletehas,Mead
Mojito Cider,Fruit Cider,6.0,1.0,Wyndridge Farm,Cider
Monk's Fest,German-Style Oktoberfest / Wiesen (Meadow),5.2,1.0,Klosterbrauerei Weißenohe,Lager
Moritz Fiege Alt,German-Style Altbier,4.8,1.0,Privatbrauerei Moritz Fiege GmbH & Co. KG,Mead
Mortimer's Orchard,English Cider,5.0,1.0,Westons Cider,Cider
Moscow Miel,Open Category Mead,6.0,1.0,Cellarmen's,Mead
Munchhausen,German-Style Altbier,4.8,1.0,The Monarchy,Mead
Murphy's Law,German-Style Altbier,5.7,1.0,Smartmouth Brewing Company,Mead
Myopic Red,German-Style Altbier,5.0,1.0,Zauber Brewing Company,Mead
Nakatomi Nite Mooves,German-Style Altbier,7.2,1.0,Oliphant Brewing,Mead
Naked Flock Draft Cider,New England Cider,6.8,1.0,Applewood Winery,Cider
Naked Flock Original Cider,New England Cider,6.8,1.0,Applewood Winery,Cider
Nattheimer Festbier,German-Style Oktoberfest / Wiesen (Meadow),5.6,1.0,Privatbrauerei Schlumberger KG,Lager
Navi,Fruit Cider,6.9,1.0,Starcut Ciders,Cider
Necromangocon,Semi-Sweet Mead,6.0,1.0,B. Nektar Meadery,Mead
Nectar,Fruit Cider,6.5,1.0,Bishop Cider Company,Cider
Nectar of the Hops,Semi-Sweet Mead,8.0,1.0,Redstone Meadery,Mead
Newtown Pippin,Fruit Cider,6.0,1.0,Colorado Cider Company,Cider
Newtown Pippin Hard Cider,Fruit Cider,6.7,1.0,Original Sin,Cider
Next Bier Up,German-Style Altbier,5.6,1.0,Land-Grant Brewing Company,Mead
Nitro Apple Pi,Open Category Mead,14.0,1.0,B. Nektar Meadery,Mead
Nitro Red Ruckus,Fruit Cider,6.5,1.0,Northville Winery & Brewing Co.,Cider
No Depression,German-Style Altbier,5.5,1.0,Right Proper Brewing Company,Mead
No. 37 Sticke Alt,German-Style Altbier,6.2,1.0,The Freehouse,Mead
Nor' Easter,English Cider,6.9,1.0,Red Clay Ciderworks,Cider
North Sea Dragon King,Semi-Sweet Mead,7.0,1.0,Arktos Meadery,Mead
Northern German Altbier,German-Style Altbier,5.1,1.0,Cogstone Brewing Company,Mead
Nova,Fruit Cider,8.0,1.0,Far From The Tree Cider,Cider
Nutmeg,Open Category Mead,13.0,1.0,Schramm's Mead,Mead
Oak Aged Apple Cider,English Cider,6.9,1.0,Island Orchard Cider,Cider
Oaked Chumsticke,German-Style Altbier,8.0,1.0,Icicle Brewing Company,Mead
Oaked Dry,Fruit Cider,8.4,1.0,Wandering Aengus Ciderworks,Cider
Oaked Wildflower Mead,Open Category Mead,11.5,1.0,BOS Meadery,Mead
Oaktoberfest,German-Style Oktoberfest / Wiesen (Meadow),5.0,1.0,Black Oak Brewing Company,Lager
Oaktoberfest,German-Style Oktoberfest / Wiesen (Meadow),5.0,1.0,Oaken Barrel Brewing,Lager
Occtoberboi,German-Style Oktoberfest / Wiesen (Meadow),7.0,1.0,Oliphant Brewing,Lager
Octoberfest,German-Style Oktoberfest / Wiesen (Meadow),6.0,1.0,BearWaters Brewing Company,Lager
Octorock,Fruit Cider,6.3,1.0,Starcut Ciders,Cider
Off-Dry,Fruit Cider,5.8,1.0,Stem Ciders,Cider
Ogg's FM (F^%k'n Magic) Altbier,German-Style Altbier,5.5,1.0,Lumpy Ridge Brewery,Mead
Oktoberfest,German-Style Oktoberfest / Wiesen (Meadow),5.2,1.0,Banded Horn Brewing Company,Lager
Oktoberfest,German-Style Oktoberfest / Wiesen (Meadow),5.6,1.0,Big Oyster Brewery,Lager
Oktoberfest,German-Style Oktoberfest / Wiesen (Meadow),6.0,1.0,Cheboygan Brewing Company,Lager
Oktoberfest,German-Style Oktoberfest / Wiesen (Meadow),5.7,1.0,Lakefront Brewery,Lager
Oktoberfest,German-Style Oktoberfest / Wiesen (Meadow),5.4,1.0,Legend Brewing Company,Lager
Oktoberfest,German-Style Oktoberfest / Wiesen (Meadow),5.9,1.0,Ninkasi Brewing Company,Lager
Oktoberfest,German-Style Oktoberfest / Wiesen (Meadow),5.7,1.0,Indeed Brewing Company,Lager
Oktoberfest,German-Style Oktoberfest / Wiesen (Meadow),8.3,1.0,Big E Ales,Lager
Oktoberfest,German-Style Oktoberfest / Wiesen (Meadow),6.1,1.0,New South Brewing,Lager
Oktoberfest,German-Style Oktoberfest / Wiesen (Meadow),5.8,1.0,Moylan's Brewing Company,Lager
Oktoberfest,German-Style Oktoberfest / Wiesen (Meadow),5.9,1.0,Big Storm Brewing Co.,Lager
Oktoberfest,German-Style Oktoberfest / Wiesen (Meadow),5.5,1.0,Rust Belt Brewing Company,Lager
Oktoberfest - Thirty Beers Thirty Years,German-Style Oktoberfest / Wiesen (Meadow),5.3,1.0,Widmer Brothers Brewing,Lager
Oktoberfest Bier,German-Style Oktoberfest / Wiesen (Meadow),7.5,1.0,Cahaba Brewing Company,Lager
Oktoberfestbier,German-Style Oktoberfest / Wiesen (Meadow),6.0,1.0,Augustiner-Bräu,Lager
Oktoberfestiva,German-Style Oktoberfest / Wiesen (Meadow),5.2,1.0,YesterYears Brewery,Lager
Old '96 Sticke Alt,German-Style Altbier,6.5,1.0,Taos Mesa Brewing,Mead
Old Dog Altbier,German-Style Altbier,5.2,1.0,Yellow Dog Brewing Company,Mead
Old Man Winter,German-Style Altbier,7.5,1.0,Southern Tier Brewing Company,Mead
Old Skool Altbier,German-Style Altbier,5.0,1.0,Original Gravity Brewing Company,Mead
Old Soul,German-Style Altbier,6.0,1.0,Jackie O's Pub and Brewery,Mead
Old Teuton,German-Style Altbier,5.1,1.0,Burwood Brewing Co.,Mead
Old Time Ale,German-Style Altbier,5.0,1.0,Stony Creek Brewery,Mead
Old Zahm Oktoberfest,German-Style Oktoberfest / Wiesen (Meadow),6.0,1.0,Market Garden Brewery,Lager
Olde #8 Anniversary Ale,German-Style Altbier,6.9,1.0,Amherst Brewing Company,Mead
Olde Number 22 German Alt,German-Style Altbier,5.5,1.0,Arbor Brewing Company,Mead
Olde Number 33 German Alt,German-Style Altbier,7.5,1.0,Arbor Brewing Company,Mead
OMB Copper,German-Style Altbier,4.8,1.0,The Olde Mecklenburg Brewery,Mead
One In A Melon,Fruit Cider,6.9,1.0,Cider Creek Hard Cider,Cider
One Line Coffee,Open Category Mead,13.0,1.0,Brothers Drake Meadery,Mead
Ono Punch,Fruit Cider,8.4,1.0,Starcut Ciders,Cider
Oompah Alt,German-Style Altbier,5.2,1.0,Boerne Brewery,Mead
Orange Blossom,Dry Mead,13.0,1.0,San Francisco Mead Company,Mead
Orchard Peach,Fruit Cider,7.0,1.0,Okanagan Cider Company,Cider
Orchard's Edge: Knotty Pear,Fruit Cider,6.5,1.0,Angry Orchard,Cider
Orchard's Edge: The Old Fashioned,Fruit Cider,6.5,1.0,Angry Orchard,Cider
Organic Cider,English Cider,5.0,1.0,Samuel Smith Old Brewery,Cider
Organic Münster Alt,German-Style Altbier,5.1,1.0,Brauerei Pinkus Müller,Mead
Original Apple Cider,Fruit Cider,5.5,1.0,Lake Chelan Brewery,Cider
Original Blend,New England Cider,5.1,1.0,Down East Cider,Cider
Original Cider,Fruit Cider,5.5,1.0,Glacial Till Vineyard & Winery,Cider
Original Dry,Dry Mead,12.0,1.0,Charm City Meadworks,Mead
Original Dry Cider,English Cider,5.0,1.0,Austin Eastciders,Cider
Original Hard Apple,Fruit Cider,6.9,1.0,Two Rivers Cider Company,Cider
Original Sin Hard Cider,Fruit Cider,6.0,1.0,Original Sin,Cider
Oxymor Double,English Cider,11.5,1.0,Microbrasserie Pit Caribou,Cider
Oxymor IPA,English Cider,7.0,1.0,Microbrasserie Pit Caribou,Cider
Pacific Coast Apple Mango Muscat Cider,Fruit Cider,6.0,1.0,Cider Brothers,Cider
Pacific Coast Strawberry Hard Apple Cider,Fruit Cider,6.5,1.0,Cider Brothers,Cider
Paddy Green,Fruit Cider,6.0,1.0,Blue Toad Hard Cider,Cider
Paderborner Alt,German-Style Altbier,4.8,1.0,Paderborner Brauerei Haus Cramer GmbH & Co. KG,Mead
Pamplemead,Open Category Mead,6.0,1.0,Crafted Artisan Meadery,Mead
Papa Geyer's Pilsner,American-Style Pilsener,5.0,1.0,Stone's Throw Brewing,Lager
Passion Fruit,Fruit Cider,6.4,1.0,Portland Cider Company,Cider
Passionfruit,Fruit Cider,4.5,1.0,Rekorderlig,Cider
Passionfruit Nectar,Open Category Mead,8.0,1.0,Redstone Meadery,Mead
Passport,Fruit Cider,6.7,1.0,Schilling Cider,Cider
Patch,Fruit Cider,8.0,1.0,Far From The Tree Cider,Cider
Paulaner Hefeweizen Dunkel,German-Style Oktoberfest / Wiesen (Meadow),5.3,1.0,Paulaner,Lager
Paulaner Roggen,German-Style Altbier,5.3,1.0,Paulaner,Mead
Paulding Light,Sweet Mead,8.0,1.0,New Day Meadery,Mead
Pax Nemesis,German-Style Altbier,11.0,1.0,DuClaw Brewing Company,Mead
PB&J,Semi-Sweet Mead,13.0,1.0,Brothers Drake Meadery,Mead
PBC² Alt,German-Style Altbier,5.5,1.0,The Prodigal Brewery,Mead
Peach Cider,Fruit Cider,6.5,1.0,Sierra Rose Ciders,Cider
Peach Cider,Fruit Cider,4.7,1.0,Bold Rock Hard Cider,Cider
Peach County,Fruit Cider,5.0,1.0,Ciderboys Cider Co.,Cider
Peach Hard Apple Cider,Fruit Cider,6.5,1.0,Cascade Winery,Cider
Peach InCider,Fruit Cider,5.5,1.0,Cigar City Cider and Mead,Cider
